# Height: height in centimeters (150-200)
# Weight: weight in kilograms (50-100)
# Age: age in years (18-65)
# Score: test score out of 100
Height,Weight,Age,Score
172.5,68.2,25,82.1
160.1,55.4,30,70.0
185.3,90.5,45,92.7
177.0,75.2,34,88.5
165.6,60.0,28,67.4
158.9,52.1,22,74.0
190.2,85.3,40,95.6
153.0,50.0,19,61.2
169.7,72.8,33,78.9
174.8,65.4,26,85.3
180.0,78.0,29,91.0
162.3,58.6,27,69.5
166.4,63.3,38,74.9
157.8,54.1,24,66.0
176.9,70.5,36,82.7
188.0,92.2,43,89.4
159.3,53.0,21,60.0
170.5,66.7,32,80.2
175.6,73.9,31,77.3
183.7,88.6,41,90.1
